prediction_date,actual_date,predicted_close,actual_close,excluded_states,triggered_excluded_states,actual_state,predicted_gap,actual_gap,predicted_intraday,actual_intraday,predicted_volume,actual_volume,open_correct,path_correct,close_state_correct,five_state_correct,exclusion_correct,forced_exclusion_correct,score,error_type,review_summary
2017-07-13,2017-07-14,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,高开,高走,高走,缩量,缩量,False,True,False,False,True,True,60,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✓(高走→高走) 成交量✓(缩量→缩量) 得分=60
2017-07-14,2017-07-17,收跌,收跌,"['大涨', '大跌']",[],小跌,平开,平开,高走,震荡,缩量,缩量,True,False,True,False,True,True,80,partial_error,预测收盘✓(收跌→收跌) 开盘✓(平开→平开) 日内✗(高走→震荡) 成交量✓(缩量→缩量) 得分=80
2017-07-17,2017-07-18,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,低开,震荡,高走,缩量,缩量,False,False,True,False,True,True,60,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→低开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=60
2017-07-18,2017-07-19,收涨,收涨,"['大跌', '小跌']","['大跌', '小跌']",小涨,平开,平开,高走,高走,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✗(缩量→正常) 得分=80
2017-07-19,2017-07-20,震荡,震荡,"['大涨', '大跌']",[],震荡,平开,平开,震荡,低走,正常,缩量,True,False,True,False,True,True,60,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→缩量) 得分=60
2017-07-20,2017-07-21,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,低开,低走,高走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✗(低走→高走) 成交量✓(缩量→缩量) 得分=40
2017-07-21,2017-07-24,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,高走,低走,缩量,缩量,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✓(缩量→缩量) 得分=60
2017-07-24,2017-07-25,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,低走,低走,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✗(缩量→正常) 得分=80
2017-07-25,2017-07-26,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=60
2017-07-26,2017-07-27,震荡,收跌,"['大跌', '大涨']",[],大跌,平开,平开,高走,低走,缩量,放量,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→放量) 得分=40
2017-07-27,2017-07-28,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,低开,低走,高走,放量,放量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✗(低走→高走) 成交量✓(放量→放量) 得分=40
2017-07-28,2017-07-31,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(正常→正常) 得分=60
2017-07-31,2017-08-01,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,高开,低走,高走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→高走) 成交量✗(缩量→正常) 得分=40
